Disease,Gene,Number of Publications
Hypertension,PTPN1,3
Hypertension,PTPN11,1
Hypertension,PTPN2,1
Hypertension,PTPN22,4
Hypertension,PTPRC,1
Hypertension,PTPRD,4
Hypertension,PTPRG,1
Hypertension,PTPRN2,1
Hypertension,PTPRO,1
Hypertension,PTX3,1
Hypertension,PVR,1
Hypertension,PVRL2,1
Hypertension,PXDN,1
Hypertension,PYGB,1
Hypertension,PYHIN1,1
Hypertension,PYY,1
Hypertension,QPCT,1
Hypertension,QPCTL,1
Hypertension,QRFPR,1
Hypertension,QSOX1,1
Hypertension,QTRT1,1
Hypertension,RAB11B,1
Hypertension,RAB6C,1
Hypertension,RABGAP1L,1
Hypertension,RABIF,1
Hypertension,RAC1,3
Hypertension,RAC2,1
Hypertension,RAD54B,1
Hypertension,RAGE,4
Hypertension,RALB,1
Hypertension,RAMP1,2
Hypertension,RAMP2,1
Hypertension,RAN,2
Hypertension,RAPGEF5,2
Hypertension,RARA,1
Hypertension,RARB,2
Hypertension,RARG,1
Hypertension,RARRES2,1
Hypertension,RASA1,2
Hypertension,RASGEF1B,1
Hypertension,RASGRP3,1
Hypertension,RASIP1,1
Hypertension,RB1CC1,1
Hypertension,RBFOX1,1
Hypertension,RBM47,1
Hypertension,RBPJ,1
Hypertension,RCSD1,1
Hypertension,REG3A,3
Hypertension,REL,1
Hypertension,RELA,1
Hypertension,REN,87
Hypertension,Ren1,1
Hypertension,RENBP,4
Hypertension,Ret,1
Hypertension,RET,12
Hypertension,RETN,11
Hypertension,RFC1,1
Hypertension,RFX7,1
Hypertension,RGS12,1
Hypertension,RGS14,1
Hypertension,RGS19,1
Hypertension,RGS2,18
Hypertension,RGS20,1
Hypertension,RGS4,1
Hypertension,RGS5,4
Hypertension,RHO,2
Hypertension,RHOA,1
Hypertension,RHOBTB1,1
Hypertension,RHOC,1
Hypertension,RHOH,1
Hypertension,RHOV,1
Hypertension,RIN3,1
Hypertension,RIOK2,1
Hypertension,RLN2,1
Hypertension,RLN3,1
Hypertension,RLS,1
Hypertension,RNASE13,1
Hypertension,RNASE3,1
Hypertension,RND1,1
Hypertension,RNF17,1
Hypertension,RNF2,1
Hypertension,RNF213,3
Hypertension,RNLS,15
Hypertension,RNPEPL1,1
Hypertension,RNU1-1,1
Hypertension,ROCK1,2
Hypertension,ROCK2,7
Hypertension,ROPN1,1
Hypertension,ROR2,2
Hypertension,RORA,1
Hypertension,ROS1,3
Hypertension,RPTOR,1
Hypertension,RRAS,1
Hypertension,RREB1,2
Hypertension,RSPO3,1
Hypertension,RTEL1,1
Hypertension,RUNX1,2
Hypertension,RUVBL2,1
Hypertension,RXFP2,1
Hypertension,RXFP3,1
Hypertension,RXFP4,1
Hypertension,RXRA,3
Hypertension,RXRG,2
Hypertension,RYR1,2
Hypertension,RYR2,2
Hypertension,RYR3,4
Hypertension,S100A12,1
Hypertension,S100A4,1
Hypertension,SAA@,1
Hypertension,SAA1,4
Hypertension,SALL1,1
Hypertension,SALL4,1
Hypertension,SAMD12,1
Hypertension,SBF1,1
Hypertension,SCAMP2,1
Hypertension,SCARB1,2
Hypertension,SCG3,1
Hypertension,SCGB1A1,4
Hypertension,SCN10A,1
Hypertension,SCN7A,3
Hypertension,SCNN1A,12
Hypertension,SCNN1B,25
Hypertension,SCNN1D,3
Hypertension,SCNN1G,17
Hypertension,SDC4,1
Hypertension,SDHAF2,1
Hypertension,SDHB,9
Hypertension,SDHC,4
Hypertension,SDHD,8
Hypertension,SDK1,1
Hypertension,SDS,1
Hypertension,SEC16B,4
Hypertension,SEL1L3,1
Hypertension,SELE,24
Hypertension,SELENBP1,28
Hypertension,SELL,2
Hypertension,SELP,8
Hypertension,SELPLG,2
Hypertension,SEMA3F,1
Hypertension,SEMA6A,1
Hypertension,SEPT9,1
Hypertension,SERPINA1,7
Hypertension,SERPINA3,5
Hypertension,SERPINB1,1
Hypertension,SERPINB7,2
Hypertension,SERPINC1,5
Hypertension,SERPINE1,65
Hypertension,SERPINE2,1
Hypertension,SERPINF1,1
Hypertension,SERTAD1,1
Hypertension,SEZ6L,1
Hypertension,SF1,1
Hypertension,SFMBT1,1
Hypertension,SFRP2,1
Hypertension,SFRS3,1
Hypertension,SFRS5,1
Hypertension,SFRS9,1
Hypertension,SFT2D2,1
Hypertension,SFTPB,1
Hypertension,SGCD,1
Hypertension,SGCZ,1
Hypertension,SGK,3
Hypertension,SGK1,4
Hypertension,SGK2,1
Hypertension,SGK3,1
Hypertension,SGSM3,1
Hypertension,SH2B1,5
Hypertension,SH2B3,11
Hypertension,SHBG,11
Hypertension,SHH,1
Hypertension,SHMT1,3
Hypertension,SHROOM3,1
Hypertension,SIGLEC12,1
Hypertension,SIM1,1
Hypertension,SIRT1,9
Hypertension,SIRT6,1
Hypertension,SIX5,1
Hypertension,SKAP2,1
Hypertension,SKOR1,1
Hypertension,SLC10A1,2
Hypertension,SLC10A2,1
Hypertension,SLC11A1,1
Hypertension,SLC12A1,7
Hypertension,SLC12A2,1
Hypertension,SLC12A3,21
Hypertension,SLC12A5,2
Hypertension,SLC13A2,1
Hypertension,SLC13A3,3
Hypertension,SLC14A1,1
Hypertension,SLC14A2,1
Hypertension,SLC15A1,1
Hypertension,SLC15A2,1
Hypertension,SLC16A8,1
Hypertension,SLC17A3,1
Hypertension,SLC17A5,4
Hypertension,SLC18A1,1
Hypertension,SLC18A2,1
Hypertension,SLC19A1,2
Hypertension,SLC19A2,1
Hypertension,SLC1A4,1
Hypertension,SLC1A6,1
Hypertension,SLC1A7,1
Hypertension,SLC20A1,2
Hypertension,SLC22A1,2
Hypertension,SLC22A11,3
Hypertension,SLC22A12,3
Hypertension,SLC22A14,1
Hypertension,SLC22A2,3
Hypertension,SLC22A25,1
Hypertension,SLC22A3,2
Hypertension,SLC22A5,2
Hypertension,SLC22A6,1
Hypertension,SLC22A8,1
Hypertension,SLC24A4,1
Hypertension,SLC25A14,1
Hypertension,SLC25A20,1
Hypertension,SLC25A31,1
Hypertension,SLC25A42,1
Hypertension,SLC25A5P2,1
Hypertension,SLC26A4,1
Hypertension,SLC26A6,2
Hypertension,SLC27A4,1
Hypertension,SLC28A3,1
Hypertension,SLC2A1,2
Hypertension,SLC2A2,1
Hypertension,SLC2A3,1
Hypertension,SLC2A4,1
Hypertension,SLC2A9,10
Hypertension,SLC30A7,1
Hypertension,SLC30A8,3
Hypertension,SLC35F3,2
Hypertension,SLC36A2,1
Hypertension,SLC3A1,1
Hypertension,SLC4A1,4
Hypertension,SLC4A10,1
Hypertension,SLC4A2,4
Hypertension,SLC4A4,2
Hypertension,SLC4A5,7
Hypertension,SLC4A7,3
Hypertension,SLC4A8,1
Hypertension,SLC5A1,1
Hypertension,SLC5A11,1
Hypertension,SLC5A8,1
Hypertension,SLC6A11,1
Hypertension,SLC6A12,1
Hypertension,SLC6A13,2
Hypertension,SLC6A18,2
Hypertension,SLC6A19,2
Hypertension,SLC6A2,11
Hypertension,SLC6A4,30
Hypertension,SLC6A5,1
Hypertension,SLC6A6,1
Hypertension,SLC6A7,1
Hypertension,SLC6A9,1
Hypertension,SLC7A1,2
Hypertension,SLC7A2,1
Hypertension,SLC7A8,1
Hypertension,SLC7A9,1
Hypertension,SLC8A1,9
Hypertension,SLC8A2,2
Hypertension,SLC9A1,2
Hypertension,SLC9A2,1
Hypertension,SLC9A3,3
Hypertension,SLCO1B1,10
Hypertension,SLCO1B3,4
Hypertension,SLCO1C1,1
Hypertension,SLCO2A1,2
Hypertension,SLCO2B1,1
Hypertension,SLCO3A1,1
Hypertension,SLCO4C1,1
Hypertension,SLIT2,1
Hypertension,SLPI,3
Hypertension,SLTM,1
Hypertension,SMAD1,2
Hypertension,SMAD2,2
Hypertension,SMAD3,3
Hypertension,SMAD4,5
Hypertension,SMAD5,4
Hypertension,SMAD6,1
Hypertension,SMAD9,5
Hypertension,SMARCA1,1
Hypertension,SMARCA2,1
Hypertension,SMARCA4,1
Hypertension,SMG6,1
Hypertension,SMOC2,1
Hypertension,SMTN,1
Hypertension,SNAP25,1
Hypertension,SNRNP70,1
Hypertension,SNRPN,1
Hypertension,SNX21,1
Hypertension,SOCS1,1
Hypertension,SOCS3,3
Hypertension,SOD1,6
Hypertension,SOD2,16
Hypertension,SOD3,8
Hypertension,SORBS1,2
Hypertension,SORCS2,1
Hypertension,SORL1,1
Hypertension,SORT1,2
Hypertension,SOX13,1
Hypertension,SOX17,3
Hypertension,SOX6,2
Hypertension,SP4,1
Hypertension,SPACA1,1
Hypertension,SPATA13,1
Hypertension,Spata5,1
Hypertension,SPATS2L,1
Hypertension,SPESP1,1
Hypertension,SPG7,1
Hypertension,SPP1,4
Hypertension,SPTA1,1
Hypertension,SPTB,2
Hypertension,SPTBN4,1
Hypertension,SPTBN5,1
Hypertension,SRD5A2,2
Hypertension,SREBF1,2
Hypertension,SREBF2,3
Hypertension,SRM,1
Hypertension,SRR,2
Hypertension,SRSF2,1
Hypertension,SRSF3,1
Hypertension,SRXN1,1
Hypertension,SRY,1
Hypertension,SS18L1,1
Hypertension,SST,1
Hypertension,SSTR3,1
Hypertension,ST2,3
Hypertension,ST3GAL4,1
Hypertension,ST8SIA4,1
Hypertension,STARD3NL,1
Hypertension,STAT3,1
Hypertension,STAT4,2
Hypertension,STAT5A,1
Hypertension,STAT5B,1
Hypertension,STC2,1
Hypertension,STEAP4,4
Hypertension,STIM1,1
Hypertension,STK24,1
Hypertension,STK32B,1
Hypertension,STK38,2
Hypertension,STK39,25
Hypertension,STOX1,1
Hypertension,STRN,1
Hypertension,STXBP2,1
Hypertension,STYK1,1
Hypertension,SUB1,1
Hypertension,SULF2,2
Hypertension,SULT1A1,1
Hypertension,SULT1C3,1
Hypertension,SV2C,1
Hypertension,SYNE1,2
Hypertension,SYT9,1
Hypertension,TAC1,1
Hypertension,TADA1L,1
Hypertension,TAF3,1
Hypertension,TAF4,1
Hypertension,TANC2,1
Hypertension,TAP1,1
Hypertension,TARBP2,1
Hypertension,TAS2R20,1
Hypertension,TAS2R38,1
Hypertension,TAS2R50,1
Hypertension,TBCD,1
Hypertension,TBL1X,1
Hypertension,TBL2,2
Hypertension,TBP,1
Hypertension,TBX15,1
Hypertension,TBX19,1
Hypertension,TBX2,1
Hypertension,TBX3,6
Hypertension,TBX4,7
Hypertension,TBX5,5
Hypertension,TBXA2R,3
Hypertension,TBXAS1,1
Hypertension,TCAP,1
Hypertension,Tceanc,1
Hypertension,TCERG1L,1
Hypertension,TCF21,1
Hypertension,TCF25,1
Hypertension,TCF7,1
Hypertension,TCF7L2,18
Hypertension,TCHP,1
Hypertension,TCN2,2
Hypertension,TDRD5,1
Hypertension,TDRD9,1
Hypertension,TERC,3
Hypertension,TERT,1
Hypertension,TET2,1
Hypertension,TF,1
Hypertension,TFAP2B,2
Hypertension,TFF1,1
Hypertension,TFPI,1
Hypertension,TFRC,1
Hypertension,TGFB1,59
Hypertension,TGFB2,1
Hypertension,TGFB3,4
Hypertension,TGFBR1,2
Hypertension,TGFBR2,6
Hypertension,TGFBR3,1
Hypertension,TGFBRAP1,1
Hypertension,TH,8
Hypertension,TH1L,2
Hypertension,THADA,5
Hypertension,THBD,6
Hypertension,THBS1,3
Hypertension,THBS2,4
Hypertension,THBS4,2
Hypertension,THNSL2,1
Hypertension,THRA,1
Hypertension,THSD7A,1
Hypertension,TIE1,1
Hypertension,TIGD6,1
Hypertension,TIMD4,1
Hypertension,TIMELESS,1
Hypertension,TIMP1,3
Hypertension,TIMP2,7
Hypertension,TIMP3,6
Hypertension,TIMP4,1
Hypertension,TIPRL,1
Hypertension,TIRAP,2
Hypertension,TKT,1
Hypertension,TLR2,7
Hypertension,TLR4,18
Hypertension,TLR5,1
Hypertension,TLR6,1
Hypertension,TLR7,1
Hypertension,TLR8,1
Hypertension,TLR9,3
Hypertension,TM6SF2,2
Hypertension,TMCO1,2
Hypertension,TMEM127,2
Hypertension,TMEM18,4
Hypertension,TMEM183A,1
Hypertension,TMEM39A,1
Hypertension,TMOD4,1
Hypertension,TMPRSS7,1
Hypertension,TNC,1
Hypertension,TNF,67
Hypertension,TNFAIP3,2
Hypertension,TNFRSF11A,1
Hypertension,TNFRSF11B,8
Hypertension,TNFRSF1A,1
Hypertension,TNFRSF1B,9
Hypertension,TNFRSF25,1
Hypertension,TNFRSF4,2
Hypertension,TNFRSF9,1
Hypertension,TNFSF10,1
Hypertension,TNFSF11,3
Hypertension,TNFSF13,2
Hypertension,TNFSF14,1
Hypertension,TNFSF4,4
Hypertension,TNKS,1
Hypertension,TNNC1,1
Hypertension,TNNI3,4
Hypertension,TNNI3K,1
Hypertension,TNNT2,4
Hypertension,TNS3,1
Hypertension,TOLLIP,1
Hypertension,TOMM40,2
Hypertension,TOMM7,1
Hypertension,TOPBP1,1
Hypertension,TOX,1
Hypertension,TOX2,1
Hypertension,TOX3,2
Hypertension,TP53,7
Hypertension,TP53BP1,1
Hypertension,TP73,1
Hypertension,TPH1,2
Hypertension,TPH2,1
Hypertension,TPM1,3
Hypertension,TPR,1
Hypertension,TPSG1,1
Hypertension,TRAF1,1
Hypertension,TRAF3IP2,1
Hypertension,TRAPPC10,1
Hypertension,TRAPPC9,1
Hypertension,TRDMT1,1
Hypertension,TREML2,1
Hypertension,TRH,1
Hypertension,TRHR,1
Hypertension,TRIB1,2
Hypertension,TRIB3,2
Hypertension,TRIM47,1
Hypertension,TRIM65,2
Hypertension,trnI,2
Hypertension,TRNI,1
Hypertension,trnK,1
Hypertension,TRNL1,2
Hypertension,trnM,2
Hypertension,trnQ,1
Hypertension,TRNT,1
Hypertension,TRPC1,1
Hypertension,TRPC3,1
Hypertension,TRPC6,6
Hypertension,TRPM1,1
Hypertension,TRPM2,2
Hypertension,TRPM5,1
Hypertension,TRPM6,1
Hypertension,TRPM7,2
Hypertension,TRPM8,3
Hypertension,TRPV1,3
Hypertension,TRPV4,2
Hypertension,TRPV5,1
Hypertension,TSC1,3
Hypertension,TSHR,2
Hypertension,TSHZ1,2
Hypertension,TSLP,1
Hypertension,TSPAN8,3
Hypertension,TSPAN9,1
Hypertension,TTC21B,1
Hypertension,TTC39B,2
Hypertension,TTN,2
Hypertension,TTR,1
Hypertension,TXN,1
Hypertension,TXN2,1
Hypertension,TXNIP,1
Hypertension,TXNRD1,1
Hypertension,TXNRD2,1
Hypertension,TYMS,3
Hypertension,TYRP1,1
Hypertension,UAP1,1
Hypertension,UBASH3A,1
Hypertension,UBE1,1
Hypertension,UBE2R2,1
Hypertension,UBE2Z,1
Hypertension,UBR3,2
Hypertension,UCK2,1
Hypertension,UCP1,6
Hypertension,UCP2,8
Hypertension,UCP3,6
Hypertension,UGCGL2,1
Hypertension,UGT1A,1
Hypertension,UGT1A1,5
Hypertension,UGT1A10,1
Hypertension,UGT1A3,1
Hypertension,UGT1A4,2
Hypertension,UGT1A5,1
Hypertension,UGT1A6,2
Hypertension,UGT1A7,1
Hypertension,UGT1A8,2
Hypertension,UGT1A9,1
Hypertension,UGT2B7,1
Hypertension,UGT3A1,1
Hypertension,UHRF1,1
Hypertension,ULK3,6
Hypertension,ULK4,6
Hypertension,UMOD,17
Hypertension,UNC84A,1
Hypertension,USF1,2
Hypertension,USP20,1
Hypertension,USP37,2
Hypertension,USP45,1
Hypertension,USP49,1
Hypertension,UTS2,4
Hypertension,UTS2R,1
Hypertension,UVRAG,1
Hypertension,VAMP8,2
Hypertension,VAV2,2
Hypertension,VAV3,3
Hypertension,VCAM1,3
Hypertension,VCAN,2
Hypertension,VCL,2
Hypertension,VDR,36
Hypertension,VEGF,4
Hypertension,VEGFA,64
Hypertension,Vegfa,1
Hypertension,VEGFC,2
Hypertension,VHL,9
Hypertension,VIP,3
Hypertension,VIPR1,1
Hypertension,VIPR2,2
Hypertension,VKORC1,9
Hypertension,VNN1,3
Hypertension,VPS11,2
Hypertension,VPS33B,1
Hypertension,VTA1,1
Hypertension,VWF,8
Hypertension,WARS,1
Hypertension,WDFY4,1
Hypertension,WDR12,2
Hypertension,WDR37,1
Hypertension,WDR66,1
Hypertension,WDR72,1
Hypertension,WFS1,3
Hypertension,WISP1,1
Hypertension,WNK1,21
Hypertension,WNK2,1
Hypertension,WNK4,18
Hypertension,WNT3,2
Hypertension,WNT5A,1
Hypertension,WRN,3
Hypertension,WSCD2,1
Hypertension,WWC1,3
Hypertension,WWOX,2
Hypertension,XBP1,1
Hypertension,XCL1,1
Hypertension,XDH,5
Hypertension,XKR6,1
Hypertension,XPA,2
Hypertension,XPC,1
Hypertension,XPO5,3
Hypertension,XRCC1,6
Hypertension,XRCC3,1
Hypertension,XRCC4,1
Hypertension,XYLB,2
Hypertension,XYLT1,1
Hypertension,XYLT2,1
Hypertension,YEATS2,1
Hypertension,YEATS4,1
Hypertension,YIPF1,1
Hypertension,YOD1,1
Hypertension,ZBTB43,1
Hypertension,ZBTB46,1
Hypertension,ZC3H11A,1
Hypertension,ZC3H3,1
Hypertension,ZC3HC1,2
Hypertension,ZDHHC1,1
Hypertension,ZEB1,1
Hypertension,ZFAND6,1
Hypertension,ZFAT,3
Hypertension,ZFHX3,6
Hypertension,ZFP30,1
Hypertension,ZFP36,1
Hypertension,ZFP37,1
Hypertension,ZFPM2,1
Hypertension,ZGPAT,1
Hypertension,ZMAT4,1
Hypertension,ZNF208,1
Hypertension,ZNF259,2
Hypertension,ZNF300,1
Hypertension,ZNF395,1
Hypertension,ZNF410,1
Hypertension,ZNF45,1
Hypertension,ZNF524,1
Hypertension,ZNF596,1
Hypertension,ZNF607,1
Hypertension,ZNF618,1
Hypertension,ZNF627,2
Hypertension,ZNF652,8
Hypertension,ZNF77,1
Hypertension,ZNF79,1
Hypertension,ZNRF3,1
Hypertension,ZSWIM2,1
Hypertension,ZWINT,1
Rheumatoid Arthritis,A2M,3
Rheumatoid Arthritis,ABCA4,1
Rheumatoid Arthritis,ABCA7,1
Rheumatoid Arthritis,ABCB1,22
Rheumatoid Arthritis,ABCC1,2
Rheumatoid Arthritis,ABCC2,3
Rheumatoid Arthritis,ABCC4,2
Rheumatoid Arthritis,ABCF2,1
Rheumatoid Arthritis,ABCG2,7
Rheumatoid Arthritis,ABLIM1,1
Rheumatoid Arthritis,ABO,1
Rheumatoid Arthritis,ACAN,1
Rheumatoid Arthritis,ACE,8
Rheumatoid Arthritis,ACP1,1
Rheumatoid Arthritis,ACR,3
Rheumatoid Arthritis,ACSL6,1
Rheumatoid Arthritis,ADA,2
Rheumatoid Arthritis,ADAD1,7
Rheumatoid Arthritis,ADAM17,1
Rheumatoid Arthritis,ADAM33,1
Rheumatoid Arthritis,ADAMTS12,1
Rheumatoid Arthritis,ADAMTS7,1
Rheumatoid Arthritis,ADIPOQ,2
Rheumatoid Arthritis,ADORA2A,5
Rheumatoid Arthritis,ADORA3,3
Rheumatoid Arthritis,ADRB2,4
Rheumatoid Arthritis,ADRB3,1
Rheumatoid Arthritis,AFF1,2
Rheumatoid Arthritis,AFF3,15
Rheumatoid Arthritis,AGBL2,1
Rheumatoid Arthritis,AGER,1
Rheumatoid Arthritis,AGFG1,1
Rheumatoid Arthritis,AGMAT,1
Rheumatoid Arthritis,AGTPBP1,1
Rheumatoid Arthritis,AGXT2,1
Rheumatoid Arthritis,AHNAK2,1
Rheumatoid Arthritis,AIF1,5
Rheumatoid Arthritis,AIM2,1
Rheumatoid Arthritis,AIRE,9
Rheumatoid Arthritis,AKT3,1
Rheumatoid Arthritis,ALDH2,2
Rheumatoid Arthritis,AMPD1,5
Rheumatoid Arthritis,ANGPT1,1
Rheumatoid Arthritis,ANGPT2,1
Rheumatoid Arthritis,ANK1,1
Rheumatoid Arthritis,ANKRD55,8
Rheumatoid Arthritis,ANPEP,1
Rheumatoid Arthritis,ANXA3,2
Rheumatoid Arthritis,ANXA5,1
Rheumatoid Arthritis,AP4B1,1
Rheumatoid Arthritis,APOB,1
Rheumatoid Arthritis,APOBEC3G,1
Rheumatoid Arthritis,APOC1,1
Rheumatoid Arthritis,APOE,5
Rheumatoid Arthritis,APOH,1
Rheumatoid Arthritis,APOM,6
Rheumatoid Arthritis,APP,1
Rheumatoid Arthritis,AQP4,1
Rheumatoid Arthritis,AR,5
Rheumatoid Arthritis,ARAP1,2
Rheumatoid Arthritis,ARHGEF3,1
Rheumatoid Arthritis,ARHGEF5,2
Rheumatoid Arthritis,ARID5B,3
Rheumatoid Arthritis,ARL15,3
Rheumatoid Arthritis,ARPC1A,1
Rheumatoid Arthritis,ASCC1,1
Rheumatoid Arthritis,ASCL1,1
Rheumatoid Arthritis,ASPN,1
Rheumatoid Arthritis,ATG16L1,2
Rheumatoid Arthritis,ATG16L2,1
Rheumatoid Arthritis,ATG5,2
Rheumatoid Arthritis,ATIC,24
Rheumatoid Arthritis,ATN1,1
Rheumatoid Arthritis,ATP5A1,1
Rheumatoid Arthritis,ATP6V1G2,1
Rheumatoid Arthritis,AXPC1,1
Rheumatoid Arthritis,B2M,1
Rheumatoid Arthritis,B3GNT2,3
Rheumatoid Arthritis,B4GALT1,1
Rheumatoid Arthritis,B7H6,1
Rheumatoid Arthritis,BACE2,1
Rheumatoid Arthritis,BACH2,4
Rheumatoid Arthritis,BAK1,3
Rheumatoid Arthritis,BANK1,6
Rheumatoid Arthritis,BAT1,2
Rheumatoid Arthritis,BAT2,3
Rheumatoid Arthritis,BAT3,1
Rheumatoid Arthritis,BAT4,1
Rheumatoid Arthritis,BAT5,2
Rheumatoid Arthritis,BAX,1
Rheumatoid Arthritis,BCAR1,1
Rheumatoid Arthritis,BCHE,1
Rheumatoid Arthritis,BCL11A,1
Rheumatoid Arthritis,BCL2,1
Rheumatoid Arthritis,BDKRB1,1
Rheumatoid Arthritis,BECN1,1
Rheumatoid Arthritis,BIRC2,1
Rheumatoid Arthritis,BIRC5,1
Rheumatoid Arthritis,BLK,15
Rheumatoid Arthritis,BOLL,1
Rheumatoid Arthritis,Braf,1
Rheumatoid Arthritis,BRCA2,1
Rheumatoid Arthritis,BSN,1
Rheumatoid Arthritis,BTLA,2
Rheumatoid Arthritis,BTNL2,8
Rheumatoid Arthritis,C12orf30,2
Rheumatoid Arthritis,C12orf65,1
Rheumatoid Arthritis,C17orf76,1
Rheumatoid Arthritis,C17orf76-AS1,1
Rheumatoid Arthritis,C1orf63,1
Rheumatoid Arthritis,C1QA,1
Rheumatoid Arthritis,C1QB,1
Rheumatoid Arthritis,C1QBP,1
Rheumatoid Arthritis,C1QC,1
Rheumatoid Arthritis,C2orf65,1
Rheumatoid Arthritis,C4A,1
Rheumatoid Arthritis,C4B,1
Rheumatoid Arthritis,C5,34
Rheumatoid Arthritis,C5orf13,1
Rheumatoid Arthritis,C5orf30,5
Rheumatoid Arthritis,C6orf10,5
Rheumatoid Arthritis,C6orf15,1
Rheumatoid Arthritis,C6orf25,1
Rheumatoid Arthritis,C6orf26,1
Rheumatoid Arthritis,C6orf27,1
Rheumatoid Arthritis,C6orf47,1
Rheumatoid Arthritis,C8orf85,1
Rheumatoid Arthritis,C9orf72,1
Rheumatoid Arthritis,CA1,1
Rheumatoid Arthritis,CALCRL,1
Rheumatoid Arthritis,CARD15,6
Rheumatoid Arthritis,CARD8,13
Rheumatoid Arthritis,CASP1,3
Rheumatoid Arthritis,CASP12,1
Rheumatoid Arthritis,CASP5,1
Rheumatoid Arthritis,CASP7,2
Rheumatoid Arthritis,CASP8,2
Rheumatoid Arthritis,CAT,1
Rheumatoid Arthritis,CBLB,1
Rheumatoid Arthritis,CBLN2,1
Rheumatoid Arthritis,CCBE1,1
Rheumatoid Arthritis,CCDC22,1
Rheumatoid Arthritis,CCDC91,1
Rheumatoid Arthritis,CCHCR1,1
Rheumatoid Arthritis,CCL1,1
Rheumatoid Arthritis,CCL11,1
Rheumatoid Arthritis,CCL13,1
Rheumatoid Arthritis,CCL2,11
Rheumatoid Arthritis,CCL21,27
Rheumatoid Arthritis,CCL26,1
Rheumatoid Arthritis,CCL3,1
Rheumatoid Arthritis,CCL3L1,5
Rheumatoid Arthritis,CCL4,1
Rheumatoid Arthritis,CCL4L1,1
Rheumatoid Arthritis,CCL5,5
Rheumatoid Arthritis,CCL7,1
Rheumatoid Arthritis,CCL8,1
Rheumatoid Arthritis,CCND1,1
Rheumatoid Arthritis,CCND2,1
Rheumatoid Arthritis,CCND2P,1
Rheumatoid Arthritis,CCND3,1
Rheumatoid Arthritis,CCNDBP1,1
Rheumatoid Arthritis,CCNT1,1
Rheumatoid Arthritis,CCNT2,1
Rheumatoid Arthritis,CCR2,1
Rheumatoid Arthritis,CCR2,2
Rheumatoid Arthritis,CCR5,16
Rheumatoid Arthritis,CCR6,12
Rheumatoid Arthritis,CCT,1
Rheumatoid Arthritis,CD109,1
Rheumatoid Arthritis,CD14,9
Rheumatoid Arthritis,CD177,1
Rheumatoid Arthritis,CD19,3
Rheumatoid Arthritis,CD2,4
Rheumatoid Arthritis,CD209,2
Rheumatoid Arthritis,Cd226,1
Rheumatoid Arthritis,CD226,19
Rheumatoid Arthritis,CD24,1
Rheumatoid Arthritis,CD244,3
Rheumatoid Arthritis,CD247,6
Rheumatoid Arthritis,CD27,2
Rheumatoid Arthritis,CD274,2
Rheumatoid Arthritis,CD276,2
Rheumatoid Arthritis,CD28,13
Rheumatoid Arthritis,CD36,1
Rheumatoid Arthritis,CD38,1
Rheumatoid Arthritis,CD3D,1
Rheumatoid Arthritis,CD3E,1
Rheumatoid Arthritis,CD3EAP,1
Rheumatoid Arthritis,CD3G,2
Rheumatoid Arthritis,CD4,13
Rheumatoid Arthritis,CD40,33
Rheumatoid Arthritis,CD40LG,8
Rheumatoid Arthritis,CD44,1
Rheumatoid Arthritis,CD48,1
Rheumatoid Arthritis,CD58,5
Rheumatoid Arthritis,CD69,2
Rheumatoid Arthritis,CD70,1
Rheumatoid Arthritis,CD80,2
Rheumatoid Arthritis,CD83,3
Rheumatoid Arthritis,CD84,2
Rheumatoid Arthritis,CD86,5
Rheumatoid Arthritis,CD8A,5
Rheumatoid Arthritis,CD8B,1
Rheumatoid Arthritis,CD99,1
Rheumatoid Arthritis,CDC37,1
Rheumatoid Arthritis,CDC42EP1,1
Rheumatoid Arthritis,CDH13,1
Rheumatoid Arthritis,CDK5R2,1
Rheumatoid Arthritis,CDK5RAP2,1
Rheumatoid Arthritis,CDK6,10
Rheumatoid Arthritis,CDK7,1
Rheumatoid Arthritis,CDK9,1
Rheumatoid Arthritis,CDKN1A,1
Rheumatoid Arthritis,CDKN2A,1
Rheumatoid Arthritis,CDKN2B,1
Rheumatoid Arthritis,CDKN2B-AS1,1
Rheumatoid Arthritis,CDSN,1
Rheumatoid Arthritis,CENPW,2
Rheumatoid Arthritis,CEP170,1
Rheumatoid Arthritis,CEP57,1
Rheumatoid Arthritis,CEP72,1
Rheumatoid Arthritis,CFB,2
Rheumatoid Arthritis,CFH,3
Rheumatoid Arthritis,CFHR1,1
Rheumatoid Arthritis,CFTR,3
Rheumatoid Arthritis,CHCHD5,1
Rheumatoid Arthritis,CHI3L1,2
Rheumatoid Arthritis,CHML,1
Rheumatoid Arthritis,CHRM2,1
Rheumatoid Arthritis,CHRM3,1
Rheumatoid Arthritis,CHST11,1
Rheumatoid Arthritis,CHUK,5
Rheumatoid Arthritis,CIITA,20
Rheumatoid Arthritis,CIMT,3
Rheumatoid Arthritis,CLEC12A,1
Rheumatoid Arthritis,CLEC16A,5
Rheumatoid Arthritis,CLEC1B,1
Rheumatoid Arthritis,CLEC2D,1
Rheumatoid Arthritis,CLEC4A,2
Rheumatoid Arthritis,CLEC4D,1
Rheumatoid Arthritis,CLEC4E,1
Rheumatoid Arthritis,CLEC6A,1
Rheumatoid Arthritis,CLIC1,1
Rheumatoid Arthritis,CLYBL,1
Rheumatoid Arthritis,CNNM2,1
