Disease,Gene,Number of Publications
Bipolar Disorder,IL23R,1
Bipolar Disorder,IL28B,1
Bipolar Disorder,IL2RB,1
Bipolar Disorder,IL6,4
Bipolar Disorder,IL8,1
Bipolar Disorder,IMMP2L,1
Bipolar Disorder,IMPA1,1
Bipolar Disorder,IMPA2,7
Bipolar Disorder,INHBA,1
Bipolar Disorder,INPP1,6
Bipolar Disorder,INPP5B,1
Bipolar Disorder,INS,3
Bipolar Disorder,IPO8,1
Bipolar Disorder,ITGB4,1
Bipolar Disorder,ITIH1,2
Bipolar Disorder,ITIH3,5
Bipolar Disorder,ITIH4,6
Bipolar Disorder,ITPR2,1
Bipolar Disorder,JAM3,1
Bipolar Disorder,JARID2,1
Bipolar Disorder,KALRN,1
Bipolar Disorder,KANK4,1
Bipolar Disorder,KCNIP4,1
Bipolar Disorder,KCNJ11,1
Bipolar Disorder,KCNJ3,1
Bipolar Disorder,KCNJ6,1
Bipolar Disorder,KCNN3,4
Bipolar Disorder,KCNQ2,1
Bipolar Disorder,KCNQ3,2
Bipolar Disorder,KIAA0226,1
Bipolar Disorder,KIAA0564,1
Bipolar Disorder,KIAA0746,1
Bipolar Disorder,KIAA1009,1
Bipolar Disorder,KIAA1549,1
Bipolar Disorder,KIF13A,1
Bipolar Disorder,KLHDC1,1
Bipolar Disorder,KLHL2,1
Bipolar Disorder,KLK8,1
Bipolar Disorder,KMO,1
Bipolar Disorder,KNG1,1
Bipolar Disorder,KRAS,1
Bipolar Disorder,KRT34,1
Bipolar Disorder,L1CAM,1
Bipolar Disorder,LAMP3,2
Bipolar Disorder,LDLR,1
Bipolar Disorder,LEP,3
Bipolar Disorder,LEPR,2
Bipolar Disorder,LHCGR,1
Bipolar Disorder,LIF,1
Bipolar Disorder,LILRA4,1
Bipolar Disorder,LMAN2L,3
Bipolar Disorder,LMLN,1
Bipolar Disorder,LMO7,1
Bipolar Disorder,LOC100128023,1
Bipolar Disorder,LOC100134413,1
Bipolar Disorder,LOC100287218,1
Bipolar Disorder,LOC388780,1
Bipolar Disorder,LOC644086,1
Bipolar Disorder,LOC727978,1
Bipolar Disorder,LPHN3,1
Bipolar Disorder,LRFN5,1
Bipolar Disorder,LRP8,2
Bipolar Disorder,LRRC15,1
Bipolar Disorder,LSAMP,3
Bipolar Disorder,LSG1,1
Bipolar Disorder,LTA,1
Bipolar Disorder,LXN,1
Bipolar Disorder,LYN,1
Bipolar Disorder,MACF1,1
Bipolar Disorder,MAD1L1,4
Bipolar Disorder,MAFD1,1
Bipolar Disorder,MAFD6,1
Bipolar Disorder,MAGI1,1
Bipolar Disorder,MAGI2,1
Bipolar Disorder,MAOA,17
Bipolar Disorder,MAOB,1
Bipolar Disorder,MAP1A,1
Bipolar Disorder,MAPK1,5
Bipolar Disorder,MAPK8IP2,1
Bipolar Disorder,MAPT,2
Bipolar Disorder,MARCH1,1
Bipolar Disorder,MARCH8,1
Bipolar Disorder,MARK1,1
Bipolar Disorder,MBL2,1
Bipolar Disorder,MBP,1
Bipolar Disorder,MC2R,1
Bipolar Disorder,MC5R,2
Bipolar Disorder,MCHR1,1
Bipolar Disorder,MCHR2,1
Bipolar Disorder,Mctp1,1
Bipolar Disorder,MDCR,1
Bipolar Disorder,MDD1,2
Bipolar Disorder,MDGA1,2
Bipolar Disorder,MDK,1
Bipolar Disorder,MFI2,1
Bipolar Disorder,MGAM,1
Bipolar Disorder,MGAT4A,1
Bipolar Disorder,MIF,1
Bipolar Disorder,MIR1288,1
Bipolar Disorder,MIR137,5
Bipolar Disorder,MIR137HG,1
Bipolar Disorder,MIR206,1
Bipolar Disorder,MIR2113,1
Bipolar Disorder,MIR2682,1
Bipolar Disorder,MIR485,1
Bipolar Disorder,Mir499,1
Bipolar Disorder,MIR499,1
Bipolar Disorder,MIR504,1
Bipolar Disorder,MIR607,1
Bipolar Disorder,MIR633,1
Bipolar Disorder,MIR708,1
Bipolar Disorder,Mir708,1
Bipolar Disorder,MKLN1,1
Bipolar Disorder,MLC1,2
Bipolar Disorder,MLL3,1
Bipolar Disorder,MMP10,1
Bipolar Disorder,MMP16,1
Bipolar Disorder,MMP9,2
Bipolar Disorder,MOCOS,1
Bipolar Disorder,MOSC2,1
Bipolar Disorder,MPPE1,2
Bipolar Disorder,MRAP2,1
Bipolar Disorder,MTHFD1,2
Bipolar Disorder,MTHFD1L,1
Bipolar Disorder,MTHFR,21
Bipolar Disorder,MTNR1B,2
Bipolar Disorder,MTR,3
Bipolar Disorder,MTRR,1
Bipolar Disorder,MUC4,1
Bipolar Disorder,MYO18B,1
Bipolar Disorder,MYO5B,3
Bipolar Disorder,NALCN,2
Bipolar Disorder,NAP5,1
Bipolar Disorder,NAPEPLD,1
Bipolar Disorder,NAPG,3
Bipolar Disorder,NBEA,2
Bipolar Disorder,NCALD,1
Bipolar Disorder,NCAM1,6
Bipolar Disorder,NCAM2,1
Bipolar Disorder,NCAN,8
Bipolar Disorder,NCBP2,1
Bipolar Disorder,NCKAP5,1
Bipolar Disorder,NCL,1
Bipolar Disorder,NCOA2,1
Bipolar Disorder,NCOR2,1
Bipolar Disorder,ND1,1
Bipolar Disorder,ND2,4
Bipolar Disorder,ND2,2
Bipolar Disorder,ND3,1
Bipolar Disorder,ND3,1
Bipolar Disorder,ND4,1
Bipolar Disorder,ND4L,1
Bipolar Disorder,ND5,2
Bipolar Disorder,ND6,1
Bipolar Disorder,ND6,1
Bipolar Disorder,NDE1,1
Bipolar Disorder,NDEL1,1
Bipolar Disorder,NDST3,3
Bipolar Disorder,NDUFAB1,1
Bipolar Disorder,NDUFS7,1
Bipolar Disorder,NDUFV2,10
Bipolar Disorder,NEK4,2
Bipolar Disorder,NET1,1
Bipolar Disorder,NEUROD1,1
Bipolar Disorder,NEUROD2,1
Bipolar Disorder,NEUROD4,1
Bipolar Disorder,NEUROG1,1
Bipolar Disorder,NF1,1
Bipolar Disorder,NFIA,2
Bipolar Disorder,NFIX,1
Bipolar Disorder,NFKB1,1
Bipolar Disorder,NGF,3
Bipolar Disorder,NGFR,1
Bipolar Disorder,NIACR1,1
Bipolar Disorder,NIACR2,1
Bipolar Disorder,NIPA1,1
Bipolar Disorder,NLGN1,3
Bipolar Disorder,NLGN2,1
Bipolar Disorder,NLRC5,1
Bipolar Disorder,NNMT,1
Bipolar Disorder,NOD2,2
Bipolar Disorder,NOS1,9
Bipolar Disorder,NOS1AP,2
Bipolar Disorder,NOS2,3
Bipolar Disorder,NOS2P1,1
Bipolar Disorder,NOS3,4
Bipolar Disorder,NOTCH4,1
Bipolar Disorder,NOVA2,1
Bipolar Disorder,NPAS2,2
Bipolar Disorder,NPAS3,3
Bipolar Disorder,NPPA,1
Bipolar Disorder,NPPB,1
Bipolar Disorder,NPPC,2
Bipolar Disorder,NPR1,1
Bipolar Disorder,NPR2,1
Bipolar Disorder,NPR3,2
Bipolar Disorder,NPTX1,1
Bipolar Disorder,NPY,1
Bipolar Disorder,NPY2R,2
Bipolar Disorder,NPY5R,1
Bipolar Disorder,NR1D1,8
Bipolar Disorder,NR1I2,1
Bipolar Disorder,NR2E1,1
Bipolar Disorder,NR2F2,1
Bipolar Disorder,NR3C1,16
Bipolar Disorder,NR3C2,4
Bipolar Disorder,NR4A1,1
Bipolar Disorder,NR4A2,2
Bipolar Disorder,NR4A3,2
Bipolar Disorder,NRAP,1
Bipolar Disorder,NRAS,1
Bipolar Disorder,NRCAM,1
Bipolar Disorder,NRG1,25
Bipolar Disorder,NRG2,1
Bipolar Disorder,NRG3,4
Bipolar Disorder,NRGN,2
Bipolar Disorder,NRP1,1
Bipolar Disorder,NRSN1,1
Bipolar Disorder,NRXN1,6
Bipolar Disorder,NRXN2,2
Bipolar Disorder,NRXN3,3
Bipolar Disorder,NSF,3
Bipolar Disorder,NSMCE2,1
Bipolar Disorder,NSUN4,1
Bipolar Disorder,NT5C2,1
Bipolar Disorder,NT5DC1,2
Bipolar Disorder,NT5DC2,1
Bipolar Disorder,NTF3,2
Bipolar Disorder,NTF4,1
Bipolar Disorder,NTRK1,1
Bipolar Disorder,NTRK2,7
Bipolar Disorder,NTRK3,4
Bipolar Disorder,NTS,1
Bipolar Disorder,NTSR1,2
Bipolar Disorder,NTSR2,1
Bipolar Disorder,NUCKS1,1
Bipolar Disorder,NUFIP2,2
Bipolar Disorder,NUMB,1
Bipolar Disorder,NXN,1
Bipolar Disorder,ODZ4,9
Bipolar Disorder,OLIG3,1
Bipolar Disorder,OPA1,1
Bipolar Disorder,OPRD1,1
Bipolar Disorder,OPRK1,1
Bipolar Disorder,OPRM1,2
Bipolar Disorder,OS9,1
Bipolar Disorder,OSM,1
Bipolar Disorder,OTX2,1
Bipolar Disorder,OVOS2,1
Bipolar Disorder,OXT,1
Bipolar Disorder,OXTR,3
Bipolar Disorder,P2RX4,1
Bipolar Disorder,P2RX7,13
Bipolar Disorder,PAFAH1B1,3
Bipolar Disorder,PAH,1
Bipolar Disorder,PAK7,1
Bipolar Disorder,PALB2,4
Bipolar Disorder,PARD6B,1
Bipolar Disorder,PARP14,1
Bipolar Disorder,PAWR,1
